date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR
2006-05-16,1103,7566251,151170909,20.8,20.9,19.5,19.5,-1.2,1770,4.78,1.04
2006-05-17,1103,11657347,215052215,18.7,19.5,18.15,18.7,-0.8,2081,4.58,1.0
2006-05-18,1103,6201554,115542326,18.1,19.2,18.1,19.0,0.3,1302,4.66,1.02
2006-05-19,1103,7323146,140597678,19.0,19.6,18.55,19.5,0.5,1497,4.78,1.04
2006-05-22,1103,5755098,111063996,19.7,19.7,19.0,19.0,-0.5,1142,4.66,1.02
2006-05-23,1103,3482238,64915721,18.8,19.0,18.4,18.4,-0.6,732,4.51,0.99
2006-05-24,1103,3648810,67627034,18.45,18.8,18.3,18.6,0.2,859,4.56,1.0
2006-05-25,1103,10301004,200498616,18.65,19.9,18.6,19.9,1.3,2204,4.88,1.07
2006-05-26,1103,11659992,236750640,20.5,20.7,20.0,20.0,0.1,2507,4.9,1.07
2006-05-29,1103,3336224,66381212,20.5,20.5,19.4,19.4,-0.6,945,4.75,1.04
2006-05-30,1103,5250337,98121914,19.3,19.4,18.3,18.4,-1.0,1571,4.51,0.99
2006-06-01,1103,1491218,27906851,18.55,18.9,18.4,18.8,0.4,460,4.61,1.01
2006-06-02,1103,3508209,64891023,18.85,19.1,18.3,18.5,-0.3,752,4.53,0.99
2006-06-05,1103,6409115,113462581,18.35,18.5,17.25,17.25,-1.25,1124,4.23,0.92
2006-06-06,1103,9470833,155038156,16.6,17.2,16.05,16.2,-1.05,1522,3.97,0.87
2006-06-07,1103,3606088,58894464,16.1,16.65,15.85,16.25,0.05,796,3.98,0.87
2006-06-08,1103,5630764,87841050,16.1,16.1,15.2,15.4,-0.85,983,3.77,0.82
2006-06-09,1103,4918457,76061233,15.4,15.8,15.15,15.6,0.2,736,3.82,0.84
2006-06-12,1103,2900392,44903684,15.4,15.7,15.3,15.55,-0.05,526,3.81,0.83
2006-06-13,1103,2564729,39885074,15.5,15.8,15.3,15.45,-0.1,501,3.79,0.83
2006-06-14,1103,3374569,53790259,15.6,16.2,15.55,16.1,0.65,784,3.95,0.86
2006-06-15,1103,2617112,41704524,16.25,16.3,15.75,15.85,-0.25,637,3.88,0.85
2006-06-16,1103,6751527,111267409,16.2,16.85,16.15,16.4,0.55,1009,4.02,0.88
2006-06-19,1103,4077810,67305355,16.35,16.8,16.2,16.8,0.4,757,4.12,0.9
2006-06-20,1103,5957529,98249677,16.7,16.75,16.1,16.3,-0.5,994,4.0,0.87
2006-06-21,1103,3746647,59480727,16.4,16.4,15.5,15.6,-0.7,649,3.82,0.84
2006-06-22,1103,2464402,39421838,16.2,16.2,15.8,16.0,0.4,439,3.92,0.86
2006-06-23,1103,2708302,43456963,15.8,16.2,15.8,16.2,0.2,531,3.97,0.87
2006-06-26,1103,3182183,52030585,16.2,16.55,16.05,16.5,0.3,586,4.04,0.88
2006-06-27,1103,4306931,71980830,16.45,16.9,16.25,16.9,0.4,811,4.14,0.9
2006-06-28,1103,9105628,157971147,16.7,17.7,16.65,17.7,0.8,2074,4.34,0.95
2006-06-29,1103,5580256,98360689,17.8,17.85,17.45,17.5,-0.2,1153,4.29,0.94
2006-06-30,1103,3401263,59294642,17.7,17.75,17.2,17.25,-0.25,849,4.23,0.92
2006-07-03,1103,4038780,71052215,17.45,17.7,17.45,17.65,0.4,887,4.33,0.94
2006-07-04,1103,2900555,50933284,17.65,17.8,17.45,17.65,0.0,563,4.33,0.94
2006-07-05,1103,3755630,65624502,17.65,17.75,17.2,17.3,-0.35,676,4.24,0.89
2006-07-06,1103,2707098,46114466,17.2,17.2,16.9,17.15,-0.15,512,4.04,0.89
2006-07-07,1103,1597601,27127405,17.15,17.2,16.9,16.95,-0.2,368,4.0,0.88
2006-07-10,1103,1282105,21518863,16.8,17.0,16.65,17.0,0.05,303,4.01,0.88
2006-07-11,1103,828486,14103460,17.05,17.1,16.9,17.1,0.1,322,4.03,0.88
2006-07-12,1103,1485645,25413348,17.15,17.2,17.0,17.05,-0.05,378,4.02,0.88
2006-07-13,1103,975602,16510758,17.15,17.15,16.8,16.9,-0.15,296,3.99,0.87
2006-07-14,1103,1958200,32333109,16.7,16.75,16.3,16.35,-0.55,426,3.86,0.84
2006-07-17,1103,2498686,39765381,16.15,16.35,15.55,15.6,-0.75,498,3.68,0.81
2006-07-18,1103,1619368,25268508,15.65,15.9,15.5,15.65,0.05,340,3.69,0.81
2006-07-19,1103,2004837,31572977,15.75,15.9,15.6,15.6,-0.05,367,3.68,0.81
2006-07-20,1103,1266180,20135342,15.95,16.0,15.75,16.0,0.4,287,3.77,0.83
2006-07-21,1103,917050,14513745,15.95,16.0,15.75,16.0,0.0,222,3.77,0.83
2006-07-24,1103,1186918,19038943,15.85,16.2,15.8,16.1,0.1,293,3.8,0.83
2006-07-25,1103,1532802,24962201,16.35,16.5,16.15,16.25,0.15,317,3.83,0.84
2006-07-26,1103,1159840,18597212,16.05,16.2,15.95,16.0,-0.25,236,3.77,0.83
2006-07-27,1103,1755860,28110760,15.9,16.1,15.9,16.1,0.1,228,3.8,0.83
2006-07-28,1103,2501291,40604696,15.9,16.4,15.9,16.35,0.25,358,3.86,0.84
2006-07-31,1103,941784,15504629,16.7,16.7,16.35,16.5,0.15,209,3.89,0.85
2006-08-01,1103,4205798,70597625,16.6,17.05,16.35,16.85,0.35,823,3.97,0.87
2006-08-02,1103,1321488,22134923,16.85,16.9,16.6,16.7,-0.15,311,3.94,0.86
2006-08-03,1103,2004970,33563300,16.7,17.0,16.55,16.7,0.0,549,3.94,0.86
2006-08-04,1103,611671,10208887,16.7,16.85,16.5,16.75,0.05,168,3.95,0.86
2006-08-07,1103,804628,13390191,16.75,16.8,16.5,16.7,-0.05,201,3.94,0.86
2006-08-08,1103,838158,14026076,16.8,16.9,16.6,16.75,0.05,385,3.95,0.86
2006-08-09,1103,730353,12138939,16.75,16.8,16.55,16.55,-0.2,184,3.9,0.85
2006-08-10,1103,1065527,17500883,16.55,16.6,16.3,16.3,-0.25,304,3.84,0.84
2006-08-11,1103,1706283,27450801,16.3,16.3,16.0,16.2,-0.1,429,3.82,0.84
2006-08-14,1103,1436584,23091231,16.05,16.2,16.0,16.05,-0.15,377,3.79,0.83
2006-08-15,1103,814882,13139612,16.05,16.2,16.0,16.1,0.05,182,3.8,0.83
2006-08-16,1103,2338906,38373436,16.2,16.75,16.15,16.75,0.65,482,3.95,0.86
2006-08-17,1103,1698757,28302661,16.95,16.95,16.5,16.5,-0.25,394,3.89,0.85
2006-08-18,1103,1575277,25645017,16.35,16.5,16.2,16.3,-0.2,488,3.84,0.84
2006-08-21,1103,1669244,26841925,16.35,16.35,15.85,16.1,-0.2,428,3.8,0.83
2006-08-22,1103,919834,14684334,15.9,16.1,15.9,15.9,-0.2,183,3.75,0.82
2006-08-23,1103,1131915,17993604,16.0,16.0,15.8,16.0,0.1,254,3.77,0.83
2006-08-24,1103,1207884,19118907,15.9,16.0,15.75,15.8,-0.2,209,3.73,0.82
2006-08-25,1103,742350,11830176,15.85,16.0,15.85,15.9,0.1,211,3.75,0.82
2006-08-28,1103,695083,10948043,15.95,15.95,15.6,15.75,-0.15,163,3.71,0.81
2006-08-29,1103,406380,6422814,15.85,15.9,15.7,15.8,0.05,115,3.73,0.82
2006-08-30,1103,664275,10569932,15.9,16.0,15.8,15.9,0.1,179,3.75,0.82
2006-08-31,1103,6429772,105606303,16.6,16.7,16.3,16.4,0.5,1228,3.87,0.79
2006-09-01,1103,3748932,61996684,16.65,16.7,16.4,16.45,0.05,888,3.88,0.8
2006-09-04,1103,2338082,38849744,16.7,16.7,16.55,16.55,0.1,550,3.9,0.8
2006-09-05,1103,2408718,39290215,16.7,16.7,16.15,16.15,-0.4,470,3.81,0.78
2006-09-06,1103,1693403,27226548,16.05,16.2,16.0,16.15,0.0,421,3.81,0.78
2006-09-07,1103,1050504,16854185,16.1,16.2,15.9,16.0,-0.15,275,3.77,0.77
2006-09-08,1103,1176825,18876900,16.1,16.15,16.0,16.05,0.05,227,3.79,0.78
2006-09-11,1103,3302678,53574230,16.25,16.35,16.1,16.15,0.1,557,3.81,0.78
2006-09-12,1103,3869961,61609483,16.0,16.15,15.8,15.9,-0.25,542,3.75,0.77
2006-09-13,1103,871194,13860462,15.95,16.05,15.8,15.9,0.0,389,3.75,0.77
2006-09-14,1103,2234683,35142685,16.0,16.0,15.6,15.6,-0.3,432,3.68,0.75
2006-09-15,1103,652879,10250208,15.6,15.8,15.6,15.7,0.1,210,3.7,0.76
2006-09-18,1103,6286528,103607806,16.1,16.75,15.9,16.65,0.95,1270,3.93,0.81
2006-09-19,1103,5363996,89930381,16.6,16.95,16.4,16.7,0.05,1150,3.94,0.81
2006-09-20,1103,8444304,146244818,16.55,17.75,16.55,17.2,0.5,2106,4.06,0.83
2006-09-21,1103,10627800,185913648,17.5,17.65,17.3,17.55,0.35,1989,4.14,0.85
2006-09-22,1103,10887855,193137899,17.65,17.9,17.55,17.7,0.15,2156,4.17,0.86
