date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice
2006-06-08,1528,1823220,23858032,13.5,13.65,12.65,12.7,-0.85,365,2006,9.92,0.9,0,0.0
2006-06-09,1528,824917,10539423,12.6,13.15,12.45,13.1,0.4,252,2006,10.23,0.93,0,0.0
2006-06-12,1528,411616,5344788,12.9,13.2,12.8,13.2,0.1,101,2006,10.31,0.93,0,0.0
2006-06-13,1528,744173,9665064,13.15,13.2,12.8,12.95,-0.25,177,2006,10.12,0.91,0,0.0
2006-06-14,1528,1326200,17513119,13.0,13.35,12.8,13.2,0.25,197,2006,10.31,0.93,0,0.0
2006-06-15,1528,315000,4128550,13.2,13.3,13.0,13.1,-0.1,81,2006,10.23,0.93,0,0.0
2006-06-16,1528,1392416,18630297,13.3,13.65,13.15,13.15,0.05,285,2006,10.27,0.93,0,0.0
2006-06-19,1528,335500,4448949,13.15,13.4,13.1,13.3,0.15,91,2006,10.39,0.94,0,0.0
2006-06-20,1528,318000,4152698,13.3,13.3,12.85,12.95,-0.35,92,2006,10.12,0.91,0,0.0
2006-06-21,1528,429050,5509534,12.9,12.95,12.7,12.85,-0.1,102,2006,10.04,0.91,0,0.0
2006-06-22,1528,531480,6893440,12.9,13.15,12.7,13.15,0.3,120,2006,10.27,0.93,0,0.0
2006-06-23,1528,226000,2933050,13.15,13.15,12.85,13.0,-0.15,49,2006,10.16,0.92,0,0.0
2006-06-26,1528,290425,3799167,13.0,13.25,12.9,13.2,0.2,59,2006,10.31,0.93,0,0.0
2006-06-27,1528,220450,2904390,13.2,13.35,13.0,13.2,0.0,73,2006,10.31,0.93,0,0.0
2006-06-28,1528,56556,744883,13.2,13.25,13.0,13.2,0.0,27,2006,10.31,0.93,0,0.0
2006-06-29,1528,261500,3476974,13.2,13.4,13.2,13.25,0.05,70,2006,10.35,0.94,0,0.0
2006-06-30,1528,285343,3817894,13.4,13.45,13.3,13.35,0.1,76,2006,10.43,0.94,0,0.0
2006-07-03,1528,130075,1744001,13.35,13.5,13.25,13.45,0.1,47,2006,10.51,0.95,0,0.0
2006-07-04,1528,233607,3156533,13.45,13.55,13.4,13.5,0.05,64,2006,10.55,0.95,0,0.0
2006-07-05,1528,91537,1222238,13.3,13.45,13.3,13.3,-0.2,36,2006,10.39,0.94,0,0.0
2006-07-06,1528,207000,2790700,13.3,13.6,13.3,13.4,0.1,67,2006,10.47,0.95,0,0.0
2006-07-07,1528,1238000,16884600,13.7,13.75,13.5,13.55,0.15,260,2006,10.59,0.96,0,0.0
2006-07-10,1528,2893776,40400066,13.8,14.3,13.65,14.3,0.75,529,2006,11.17,1.01,0,0.0
2006-07-11,1528,666678,9480124,14.5,14.6,14.0,14.05,-0.25,208,2006,10.98,0.99,0,0.0
2006-07-12,1528,1093650,15353434,14.1,14.25,13.85,14.05,0.0,215,2006,10.98,0.99,0,0.0
2006-07-13,1528,412893,5828660,14.05,14.3,14.0,14.05,0.0,107,2006,10.98,0.99,0,0.0
2006-07-14,1528,532082,7374817,14.0,14.0,13.6,13.8,-0.25,135,2006,10.78,0.97,0,0.0
2006-07-17,1528,885000,11857000,13.3,13.65,13.25,13.3,-0.5,176,2006,10.39,0.94,0,0.0
2006-07-18,1528,565840,7684698,13.5,13.75,13.35,13.6,0.3,139,2006,10.63,0.96,0,0.0
2006-07-19,1528,1029445,14424279,13.6,14.3,13.6,13.7,0.1,263,2006,10.7,0.97,0,0.0
2006-07-20,1528,698616,9774438,14.15,14.2,13.85,13.9,0.2,166,2006,10.86,0.98,0,0.0
2006-07-21,1528,277395,3857588,13.9,14.05,13.8,13.9,0.0,86,2006,10.86,0.98,0,0.0
2006-07-24,1528,253250,3489537,13.75,13.9,13.65,13.8,-0.1,82,2006,10.78,0.97,0,0.0
2006-07-25,1528,447540,6246555,13.95,14.05,13.9,13.9,0.1,119,2006,10.86,0.98,0,0.0
