date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2006-02-10,1107,162000,72830,0.43,0.46,0.42,0.45,0.01,28,0.0,22.5,2006,0,0.0
2006-02-13,1107,1032073,489726,0.45,0.48,0.45,0.48,0.03,71,0.0,24.0,2006,0,0.0
2006-02-14,1107,945410,461030,0.48,0.51,0.45,0.5,0.02,79,0.0,25.0,2006,0,0.0
2006-02-15,1107,49200,23574,0.48,0.48,0.47,0.48,-0.02,7,0.0,24.0,2006,0,0.0
2006-02-16,1107,79517,36912,0.46,0.48,0.45,0.48,0.0,21,0.0,24.0,2006,0,0.0
2006-02-17,1107,371000,178840,0.48,0.5,0.47,0.48,0.0,44,0.0,24.0,2006,0,0.0
2006-02-20,1107,345000,173820,0.48,0.51,0.48,0.5,0.02,39,0.0,25.0,2006,0,0.0
2006-02-21,1107,309219,162948,0.49,0.53,0.49,0.53,0.03,71,0.0,26.5,2006,0,0.0
2006-02-22,1107,544186,299556,0.5,0.56,0.5,0.56,0.03,68,0.0,28.0,2006,0,0.0
2006-02-23,1107,646107,379778,0.56,0.59,0.54,0.59,0.03,46,0.0,29.5,2006,0,0.0
2006-02-24,1107,432733,258012,0.62,0.62,0.55,0.55,-0.04,46,0.0,27.5,2006,0,0.0
2006-02-27,1107,94000,48880,0.52,0.52,0.52,0.52,-0.03,11,0.0,26.0,2006,0,0.0
2006-03-01,1107,53000,26790,0.52,0.52,0.49,0.49,-0.03,14,0.0,24.5,2006,0,0.0
2006-03-02,1107,81200,38142,0.47,0.48,0.46,0.48,-0.01,17,0.0,24.0,2006,0,0.0
2006-03-03,1107,37000,17650,0.47,0.48,0.47,0.48,0.0,7,0.0,24.0,2006,0,0.0
2006-03-06,1107,182833,87633,0.49,0.51,0.46,0.46,-0.02,59,0.0,23.0,2006,0,0.0
2006-03-07,1107,88158,42640,0.47,0.49,0.47,0.49,0.03,35,0.0,24.5,2006,0,0.0
2006-03-08,1107,225404,113110,0.52,0.52,0.48,0.51,0.02,35,0.0,25.5,2006,0,0.0
2006-03-09,1107,285911,146019,0.52,0.53,0.49,0.5,-0.01,38,0.0,25.0,2006,0,0.0
2006-03-10,1107,153993,76662,0.5,0.5,0.49,0.49,-0.01,26,0.0,24.5,2006,0,0.0
2006-03-13,1107,122000,57228,0.49,0.51,0.46,0.46,-0.03,24,0.0,23.0,2006,0,0.0
2006-03-14,1107,153000,70850,0.46,0.47,0.45,0.45,-0.01,16,0.0,22.5,2006,0,0.0
2006-03-15,1107,377000,164230,0.47,0.47,0.42,0.42,-0.03,35,0.0,21.0,2006,0,0.0
2006-03-16,1107,59000,25920,0.42,0.44,0.42,0.44,0.02,13,0.0,22.0,2006,0,0.0
2006-03-17,1107,146000,63710,0.43,0.44,0.43,0.44,0.0,13,0.0,22.0,2006,0,0.0
2006-03-20,1107,84000,38310,0.44,0.47,0.44,0.46,0.02,13,0.0,23.0,2006,0,0.0
2006-03-21,1107,555134,267977,0.45,0.49,0.45,0.45,-0.01,35,0.0,22.5,2006,0,0.0
2006-03-22,1107,131001,60070,0.45,0.48,0.45,0.46,0.01,17,0.0,23.0,2006,0,0.0
2006-03-23,1107,102000,46110,0.46,0.46,0.45,0.45,-0.01,7,0.0,22.5,2006,0,0.0
2006-03-24,1107,81200,37334,0.45,0.47,0.45,0.46,0.01,10,0.0,23.0,2006,0,0.0
2006-03-27,1107,166000,72980,0.45,0.45,0.43,0.43,-0.03,18,0.0,21.5,2006,0,0.0
2006-03-28,1107,568094,249794,0.45,0.46,0.42,0.46,0.03,59,0.0,23.0,2006,0,0.0
